"mode","agent","attack_success_rate_mean","unauthorized_risky_action_rate_mean","benign_accuracy_mean","poison_sealing_rate_mean","false_positive_rate_mean","average_latency_ms_mean"
"moderate","ablation_no_denied_actions","0.0","0.0","1.0","0.0","0.0","0.036069166659065864"
"moderate","ablation_no_quorum","0.0","0.0","1.0","0.2222222222222222","0.0","0.0342465277753945"
"moderate","ablation_no_topic_scope","0.0","0.0","0.6111111111111112","0.2222222222222222","0.0","0.039539861106479494"
"moderate","counterfactual_memory","0.06296296296296296","0.07916666666666666","0.9055555555555556","0.0","0.06111111111111111","0.042044861114239516"
"moderate","intent_capsules","0.0","0.0","1.0","0.2222222222222222","0.0","0.036041944426617394"
"moderate","provenance_only","0.018518518518518517","0.013888888888888888","0.9444444444444444","0.0","0.0","0.022785000010117074"
"insane","ablation_no_denied_actions","0.0","0.0","1.0","0.0","0.0","0.036438916673281106"
"insane","ablation_no_quorum","0.0","0.0","1.0","0.11764705882352941","0.0","0.033667083331086665"
"insane","ablation_no_topic_scope","0.0","0.0","0.6333333333333333","0.11764705882352941","0.0","0.03986724999928507"
"insane","counterfactual_memory","0.2196078431372549","0.2075","0.9055555555555556","0.0","0.027777777777777776","0.041795500002687426"
"insane","intent_capsules","0.0","0.0","1.0","0.11764705882352941","0.0","0.036794416651749394"
"insane","provenance_only","0.07156862745098039","0.060833333333333336","0.9222222222222222","0.0","0.0","0.022804083343999082"
"extreme","ablation_no_denied_actions","0.0","0.0","1.0","0.0","0.0","0.037232115395314534"
"extreme","ablation_no_quorum","0.0","0.0","1.0","0.13043478260869565","0.0","0.033859871797549436"
"extreme","ablation_no_topic_scope","0.0","0.0","0.638888888888889","0.13043478260869565","0.0","0.04074576922087148"
"extreme","counterfactual_memory","0.20652173913043478","0.19807692307692307","0.9333333333333333","0.0","0.03888888888888889","0.04265948716576345"
"extreme","intent_capsules","0.0","0.0","1.0","0.13043478260869565","0.0","0.03521596154197864"
"extreme","provenance_only","0.15289855072463768","0.13525641025641025","0.9555555555555555","0.0","0.0","0.022985897441848906"
"holdout","ablation_no_denied_actions","0.0","0.0","1.0","0.0","0.0","0.036523055541692884"
"holdout","ablation_no_quorum","0.0","0.0","1.0","0.11538461538461539","0.0","0.03373966666559783"
"holdout","ablation_no_topic_scope","0.0","0.0","0.4791666666666667","0.11538461538461539","0.0","0.04104600000219863"
"holdout","counterfactual_memory","0.23397435897435898","0.21444444444444444","0.9166666666666666","0.0","0.041666666666666664","0.04273594446304843"
"holdout","intent_capsules","0.0","0.0","1.0","0.11538461538461539","0.0","0.035477500013661886"
"holdout","provenance_only","0.16474358974358974","0.14277777777777778","0.9416666666666667","0.0","0.0","0.02319077779348946"
"generated_holdout","ablation_no_denied_actions","0.0","0.0","1.0","0.0","0.0","0.035888827158678284"
"generated_holdout","ablation_no_quorum","0.0","0.0","1.0","0.12","0.0","0.03404577160095128"
"generated_holdout","ablation_no_topic_scope","0.0","0.0","0.45","0.12","0.0","0.039865339514153116"
"generated_holdout","counterfactual_memory","0.23633333333333334","0.2271604938271605","0.9291666666666667","0.0","0.041666666666666664","0.04308030863318924"
"generated_holdout","intent_capsules","0.0","0.0","1.0","0.12","0.0","0.035960030868970795"
"generated_holdout","provenance_only","0.13133333333333333","0.12160493827160494","0.9625","0.0","0.0","0.02319925926634442"
"utility","ablation_no_denied_actions","0.0","0.0","0.75","0.0","0.25","0.0367296825335495"
"utility","ablation_no_quorum","0.0","0.0","1.0","0.2222222222222222","0.0","0.03600611111367124"
"utility","ablation_no_topic_scope","0.0","0.0","0.7083333333333334","0.2222222222222222","0.0","0.04078357141340334"
"utility","counterfactual_memory","0.06111111111111111","0.04126984126984127","0.9","0.0","0.006944444444444444","0.042944920628470426"
"utility","intent_capsules","0.0","0.0","1.0","0.2222222222222222","0.0","0.03736198411157631"
"utility","provenance_only","0.027777777777777776","0.011904761904761904","0.9027777777777778","0.0","0.0","0.023779126991391262"
"multimodal","ablation_no_denied_actions","0.0","0.0","1.0","0.0","0.0","0.03577900000083092"
"multimodal","ablation_no_quorum","0.0","0.0","1.0","0.25","0.0","0.034995444472466865"
"multimodal","ablation_no_topic_scope","0.0","0.0","0.6222222222222222","0.25","0.0","0.040744555554839385"
"multimodal","counterfactual_memory","0.06944444444444445","0.09999999999999999","0.9222222222222222","0.0","0.03333333333333333","0.04249611110733693"
"multimodal","intent_capsules","0.0","0.0","1.0","0.25","0.0","0.03466555554445626"
"multimodal","provenance_only","0.015277777777777777","0.012222222222222223","0.9388888888888889","0.0","0.0","0.02282977774989882"
"attacker_generated","ablation_no_denied_actions","0.0","0.0","1.0","0.0","0.0","0.03577416666968458"
"attacker_generated","ablation_no_quorum","0.0","0.0","1.0","0.18181818181818182","0.0","0.034048333325834526"
"attacker_generated","ablation_no_topic_scope","0.0","0.0","0.6111111111111112","0.18181818181818182","0.005555555555555555","0.039783981477133544"
"attacker_generated","counterfactual_memory","0.1893939393939394","0.18611111111111112","0.8833333333333333","0.0","0.08888888888888888","0.041447731469243417"
"attacker_generated","intent_capsules","0.0","0.0","1.0","0.18181818181818182","0.0","0.03436763890384235"
"attacker_generated","provenance_only","0.1272727272727273","0.11666666666666667","0.9444444444444444","0.0","0.0","0.023069583343200334"
"trusted_source_compromise","ablation_no_denied_actions","0.0","0.0","1.0","0.0","0.0","0.037304722227586525"
"trusted_source_compromise","ablation_no_quorum","0.0","0.0","1.0","0.13333333333333333","0.0","0.03526768517042877"
"trusted_source_compromise","ablation_no_topic_scope","0.0","0.0","0.6","0.13333333333333333","0.0","0.04242296295160486"
"trusted_source_compromise","counterfactual_memory","0.3011111111111111","0.3833333333333333","0.9","0.0","0.07777777777777778","0.04365379631121026"
"trusted_source_compromise","intent_capsules","0.0","0.0","1.0","0.13333333333333333","0.0","0.0374189814557987"
"trusted_source_compromise","provenance_only","0.2811111111111111","0.3453703703703704","0.95","0.0","0.0","0.023115000007473335"
